id;start_date;end_date;language
1;2020-11-18T19:15:03;2020-11-18T17:05:18;SPANISH
2;2020-11-18T00:05:14;2020-11-18T19:09:39;SPANISH
3;2020-11-18T15:00:33;2020-11-18T01:34:42;FRENCH
4;2020-11-18T06:18:04;2020-11-18T17:49:30;FRENCH
5;2020-11-18T15:48:22;2020-11-18T20:35:21;FRENCH
6;2020-11-18T09:40:43;2020-11-18T21:48:57;FRENCH
7;2020-11-18T11:26:03;2020-11-18T05:16:54;FRENCH
8;2020-11-18T10:22:16;2020-11-18T20:38:24;SPANISH
9;2020-11-18T09:03:25;2020-11-18T05:44:48;SPANISH
10;2020-11-18T17:15:29;2020-11-18T03:49:59;SPANISH
